MODEL,STARTUP,SHUTDOWN,NCOST,X1,Y1,X2,Y2,X3,Y3,X4,Y4
1,5665.23443,5665.23443,4,22,884.43584,33,1174.85782,44,1470.71025,55,1821.1237
1,22784.7956,22784.7956,4,62,1552.62418,93,2207.24021,124,2867.16447,155,3712.68014
1,28046.681,28046.681,4,170,5254.89948,231.66667,6910.34987,293.33333,8592.40827,355,10536.7115
1,28046.681,28046.681,4,170,4775.79962,231.66667,6177.63481,293.33333,7775.31462,355,9868.71865
1,5665.23443,5665.23443,4,22,1031.69929,33,1288.38408,44,1579.87505,55,1886.71665
1,5665.23443,5665.23443,4,22,1031.69929,33,1288.38408,44,1579.87505,55,1886.71665
1,28046.681,28046.681,4,170,4877.56703,231.66667,6507.36825,293.33333,8374.48424,355,10331.0128
1,28046.681,28046.681,4,170,4877.56703,231.66667,6507.36825,293.33333,8374.48424,355,10331.0128
1,0,0,4,0,0,0.33333,0,0.66667,0,1,0
1,63999.8223,63999.8223,4,396,3208.986,397.33333,3219.79067,398.66667,3230.59533,400,3241.4
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,0.33333,0,0.66667,0,1,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,0.33333,0,0.66667,0,1,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
1,0,0,4,0,0,17.2,0,34.4,0,51.6,0
1,0,0,4,0,0,17.2,0,34.4,0,51.6,0
1,0,0,4,0,0,17.2,0,34.4,0,51.6,0
1,0,0,4,0,0,31.7,0,63.4,0,95.1,0
1,0,0,4,0,0,30.9,0,61.8,0,92.7,0
1,0,0,4,0,0,17.2,0,34.4,0,51.6,0
1,0,0,4,0,0,31.1,0,62.2,0,93.3,0
1,0,0,4,0,0,17.23333,0,34.46667,0,51.7,0
1,0,0,4,0,0,16.56667,0,33.13333,0,49.7,0
1,0,0,4,0,0,31.36667,0,62.73333,0,94.1,0
1,0,0,4,0,0,17.2,0,34.4,0,51.6,0
1,0,0,4,0,0,17.2,0,34.4,0,51.6,0
1,0,0,4,0,0,17,0,34,0,51,0
1,0,0,4,0,0,31.2,0,62.4,0,93.6,0
1,0,0,4,0,0,62.73333,0,125.46667,0,188.2,0
1,0,0,4,0,0,41.7,0,83.4,0,125.1,0
1,0,0,4,0,0,8.53333,0,17.06667,0,25.6,0
1,0,0,4,0,0,8.63333,0,17.26667,0,25.9,0
1,0,0,4,0,0,8.43333,0,16.86667,0,25.3,0
1,0,0,4,0,0,8.93333,0,17.86667,0,26.8,0
1,10000,0,4,30,0,66,0,120,0,160,0
1,0,0,4,0,0,8.9,0,17.8,0,26.7,0
1,0,0,4,0,0,8.73333,0,17.46667,0,26.2,0
1,0,0,4,0,0,8.6,0,17.2,0,25.8,0
1,0,0,4,0,0,20.5,0,41,0,61.5,0
1,0,0,4,0,0,22.2,0,44.4,0,66.6,0
1,0,0,4,0,0,33.63333,0,67.26667,0,100.9,0
1,0,0,4,0,0,33.9,0,67.8,0,101.7,0
1,0,0,4,0,0,21.03333,0,42.06667,0,63.1,0
1,0,0,4,0,0,21.8,0,43.6,0,65.4,0
1,0,0,4,0,0,22.33333,0,44.66667,0,67,0
1,0,0,4,0,0,21.6,0,43.2,0,64.8,0
1,0,0,4,0,0,21.26667,0,42.53333,0,63.8,0
1,0,0,4,0,0,21.36667,0,42.73333,0,64.1,0
1,0,0,4,0,0,22.2,0,44.4,0,66.6,0
1,0,0,4,0,0,20.8,0,41.6,0,62.4,0
1,0,0,4,0,0,22.3,0,44.6,0,66.9,0
1,0,0,4,0,0,21.73333,0,43.46667,0,65.2,0
1,0,0,4,0,0,9.26667,0,18.53333,0,27.8,0
1,0,0,4,0,0,9.1,0,18.2,0,27.3,0
1,0,0,4,0,0,9,0,18,0,27,0
1,0,0,4,0,0,9.43333,0,18.86667,0,28.3,0
1,0,0,4,0,0,9.06667,0,18.13333,0,27.2,0
1,0,0,4,0,0,9,0,18,0,27,0
1,0,0,4,0,0,9.4,0,18.8,0,28.2,0
1,0,0,4,0,0,3.1,0,6.2,0,9.3,0
1,0,0,4,0,0,3.23333,0,6.46667,0,9.7,0
1,0,0,4,0,0,3.13333,0,6.26667,0,9.4,0
1,0,0,4,0,0,3.03333,0,6.06667,0,9.1,0
1,0,0,4,0,0,3.03333,0,6.06667,0,9.1,0
1,0,0,4,0,0,3.23333,0,6.46667,0,9.7,0
1,0,0,4,0,0,3.13333,0,6.26667,0,9.4,0
1,0,0,4,0,0,3.93333,0,7.86667,0,11.8,0
1,0,0,4,0,0,3.73333,0,7.46667,0,11.2,0
1,0,0,4,0,0,3.43333,0,6.86667,0,10.3,0
1,0,0,4,0,0,1.5,0,3,0,4.5,0
1,0,0,4,0,0,4.4,0,8.8,0,13.2,0
1,0,0,4,0,0,49.43333,0,98.86667,0,148.3,0
1,0,0,4,0,0,266.36667,0,532.73333,0,799.1,0
1,0,0,4,0,0,282.33333,0,564.66667,0,847,0
1,0,0,4,0,0,237.83333,0,475.66667,0,713.5,0
1,0,0,4,0,0,16.66667,0,33.33333,0,50,0
